POS,Player,Mat,Inns,NO,Runs,HS,Avg,BF,SR,100,50,4s,6s,Year
1.0,David Warner SRH,12.0,12.0,2.0,692.0,100*,69.2,481.0,143.86,1.0,8.0,57.0,21.0,2019
2.0,KL Rahul PBKS,14.0,14.0,3.0,593.0,100*,53.9,438.0,135.38,1.0,6.0,49.0,25.0,2019
3.0,Quinton de Kock MI,16.0,16.0,1.0,529.0,81,35.26,398.0,132.91,0.0,4.0,45.0,25.0,2019
4.0,Shikhar Dhawan DC,16.0,16.0,1.0,521.0,97*,34.73,384.0,135.67,0.0,5.0,64.0,11.0,2019
5.0,Andre Russell KKR,14.0,13.0,4.0,510.0,80*,56.66,249.0,204.81,0.0,4.0,31.0,52.0,2019
6.0,Chris Gayle PBKS,13.0,13.0,1.0,490.0,99*,40.83,319.0,153.6,0.0,4.0,45.0,34.0,2019
7.0,Rishabh Pant DC,16.0,16.0,3.0,488.0,78*,37.53,300.0,162.66,0.0,3.0,37.0,27.0,2019
8.0,Virat Kohli RCB,14.0,14.0,0.0,464.0,100,33.14,328.0,141.46,1.0,2.0,46.0,13.0,2019
9.0,Shreyas Iyer DC,16.0,16.0,1.0,463.0,67,30.86,386.0,119.94,0.0,3.0,41.0,14.0,2019
10.0,Jonny Bairstow SRH,10.0,10.0,2.0,445.0,114,55.62,283.0,157.24,1.0,2.0,48.0,18.0,2019
11.0,AB de Villiers RCB,13.0,13.0,3.0,442.0,82*,44.2,287.0,154.0,0.0,5.0,31.0,26.0,2019
12.0,Suryakumar Yadav MI,16.0,15.0,2.0,424.0,71*,32.61,324.0,130.86,0.0,2.0,45.0,10.0,2019
13.0,MS Dhoni CSK,15.0,12.0,7.0,416.0,84*,83.2,309.0,134.62,0.0,3.0,22.0,23.0,2019
14.0,Chris Lynn KKR,13.0,13.0,0.0,405.0,82,31.15,290.0,139.65,0.0,4.0,41.0,22.0,2019
15.0,Rohit Sharma MI,15.0,15.0,1.0,405.0,67,28.92,315.0,128.57,0.0,2.0,52.0,10.0,2019
16.0,Hardik Pandya MI,16.0,15.0,6.0,402.0,91,44.66,210.0,191.42,0.0,1.0,28.0,29.0,2019
17.0,Shane Watson CSK,17.0,17.0,0.0,398.0,96,23.41,312.0,127.56,0.0,3.0,42.0,20.0,2019
18.0,Faf du Plessis CSK,12.0,12.0,1.0,396.0,96,36.0,321.0,123.36,0.0,3.0,36.0,15.0,2019
19.0,Ajinkya Rahane RR,14.0,13.0,1.0,393.0,105*,32.75,285.0,137.89,1.0,1.0,45.0,9.0,2019
20.0,Suresh Raina CSK,17.0,17.0,1.0,383.0,59,23.93,314.0,121.97,0.0,3.0,45.0,9.0,2019
21.0,Parthiv Patel RCB,14.0,14.0,0.0,373.0,67,26.64,268.0,139.17,0.0,2.0,48.0,10.0,2019
22.0,Prithvi Shaw DC,16.0,16.0,0.0,353.0,99,22.06,264.0,133.71,0.0,2.0,45.0,9.0,2019
23.0,Manish Pandey SRH,12.0,11.0,3.0,344.0,83*,43.0,263.0,130.79,0.0,3.0,34.0,6.0,2019
24.0,Nitish Rana KKR,14.0,11.0,1.0,344.0,85*,34.4,235.0,146.38,0.0,3.0,27.0,21.0,2019
25.0,Sanju Samson RR,12.0,12.0,2.0,342.0,102*,34.2,230.0,148.69,1.0,0.0,28.0,13.0,2019
26.0,Mayank Agarwal PBKS,13.0,13.0,0.0,332.0,58,25.53,234.0,141.88,0.0,2.0,26.0,14.0,2019
27.0,Steve Smith RR,12.0,10.0,2.0,319.0,73*,39.87,275.0,116.0,0.0,3.0,30.0,4.0,2019
28.0,Jos Buttler RR,8.0,8.0,0.0,311.0,89,38.87,205.0,151.7,0.0,3.0,38.0,14.0,2019
29.0,Shubman Gill KKR,14.0,13.0,4.0,296.0,76,32.88,238.0,124.36,0.0,3.0,21.0,10.0,2019
30.0,Robin Uthappa KKR,12.0,11.0,2.0,282.0,67*,31.33,245.0,115.1,0.0,1.0,28.0,10.0,2019
31.0,Ambati Rayudu CSK,17.0,17.0,5.0,282.0,57,23.5,303.0,93.06,0.0,1.0,20.0,7.0,2019
32.0,Kieron Pollard MI,16.0,14.0,6.0,279.0,83,34.87,178.0,156.74,0.0,1.0,14.0,22.0,2019
33.0,Dinesh Karthik KKR,14.0,13.0,5.0,253.0,97*,31.62,173.0,146.24,0.0,2.0,22.0,14.0,2019
34.0,Vijay Shankar SRH,15.0,14.0,2.0,244.0,40*,20.33,193.0,126.42,0.0,0.0,11.0,12.0,2019
35.0,Moeen Ali RCB,11.0,10.0,2.0,220.0,66,27.5,133.0,165.41,0.0,2.0,16.0,17.0,2019
36.0,David Miller PBKS,10.0,10.0,2.0,213.0,59*,26.62,164.0,129.87,0.0,1.0,19.0,7.0,2019
37.0,Marcus Stoinis RCB,10.0,10.0,6.0,211.0,46*,52.75,156.0,135.25,0.0,0.0,14.0,10.0,2019
38.0,Colin Ingram DC,12.0,12.0,2.0,184.0,47,18.4,154.0,119.48,0.0,0.0,20.0,5.0,2019
39.0,Krunal Pandya MI,16.0,15.0,4.0,183.0,42,16.63,150.0,122.0,0.0,0.0,18.0,5.0,2019
40.0,Sarfaraz Khan PBKS,8.0,5.0,1.0,180.0,67,45.0,143.0,125.87,0.0,1.0,19.0,4.0,2019
41.0,Nicholas Pooran PBKS,7.0,6.0,0.0,168.0,48,28.0,107.0,157.0,0.0,0.0,10.0,14.0,2019
